,Unnamed: 0,original_video_name,hash_video_name,content,fps,codec,resolution,bitrate,begin_time
668,668,Cricket1_AVC_SFR_288p_200K_210.y4m,197676353682463695443732627647823104704.y4m,Cricket1,25.0,AVC,512x288,200K,210
669,669,Cricket1_AVC_HFR_396p_600K_210.y4m,20609728359946093724103879588952857296.y4m,Cricket1,50.0,AVC,704x396,600K,210
670,670,Cricket1_AVC_SFR_396p_400K_210.y4m,163804106106169106146138228995751093032.y4m,Cricket1,25.0,AVC,704x396,400K,210
671,671,Cricket1_AVC_SFR_396p_800K_210.y4m,75223644537191376691470345884124562074.y4m,Cricket1,25.0,AVC,704x396,800K,210
672,672,Cricket1_AVC_HFR_396p_900K_210.y4m,101644311081863874597963204544234053980.y4m,Cricket1,50.0,AVC,704x396,900K,210
673,673,Cricket1_AVC_SFR_540p_1200K_210.y4m,321896591191503642385228053570667170566.y4m,Cricket1,25.0,AVC,960x540,1200K,210
674,674,Cricket1_AVC_SFR_540p_1800K_210.y4m,269123482981352976378193743026562614335.y4m,Cricket1,25.0,AVC,960x540,1800K,210
675,675,Cricket1_AVC_SFR_720p_2000K_210.y4m,29365641939440526686085604805791184239.y4m,Cricket1,25.0,AVC,1280x720,2000K,210
676,676,Cricket1_AVC_HFR_540p_1300K_210.y4m,256479748283695416860971318585405328418.y4m,Cricket1,50.0,AVC,960x540,1300K,210
677,677,Cricket1_HEVC_HFR_288p_300K_210.y4m,24636679600735785347139338897306038642.y4m,Cricket1,50.0,HEVC,512x288,300K,210
678,678,Cricket1_HEVC_HFR_396p_600K_210.y4m,67171646721919702032725628078240868949.y4m,Cricket1,50.0,HEVC,704x396,600K,210
679,679,Cricket1_AVC_HFR_540p_1900K_210.y4m,102198085667671440436131636921206969634.y4m,Cricket1,50.0,AVC,960x540,1900K,210
680,680,Cricket1_AVC_HFR_720p_2200K_210.y4m,37902545894192977473995447840865907242.y4m,Cricket1,50.0,AVC,1280x720,2200K,210
681,681,Cricket1_HEVC_HFR_396p_900K_210.y4m,311763373976957900446009983821154371114.y4m,Cricket1,50.0,HEVC,704x396,900K,210
682,682,Cricket1_HEVC_SFR_288p_300K_210.y4m,96468857016342263233632437013486829576.y4m,Cricket1,25.0,HEVC,512x288,300K,210
683,683,Cricket1_HEVC_HFR_540p_1100K_210.y4m,314863134429019137346517783353085433729.y4m,Cricket1,50.0,HEVC,960x540,1100K,210
684,684,Cricket1_HEVC_SFR_396p_600K_210.y4m,151823175796941053219315048828903892470.y4m,Cricket1,25.0,HEVC,704x396,600K,210
685,685,Cricket1_HEVC_HFR_720p_2200K_210.y4m,109258675982032168897631186282865368887.y4m,Cricket1,50.0,HEVC,1280x720,2200K,210
686,686,Cricket1_HEVC_SFR_396p_900K_210.y4m,145114528019443363519841921894629016489.y4m,Cricket1,25.0,HEVC,704x396,900K,210
687,687,Cricket1_HEVC_HFR_540p_1900K_210.y4m,245912831642104771837843823280922616381.y4m,Cricket1,50.0,HEVC,960x540,1900K,210
688,688,Cricket1_HEVC_SFR_540p_1100K_210.y4m,2970711484064645789316516926964177594.y4m,Cricket1,25.0,HEVC,960x540,1100K,210
689,689,Cricket1_HEVC_SFR_540p_1900K_210.y4m,250261094754809788522658736116164322882.y4m,Cricket1,25.0,HEVC,960x540,1900K,210
690,690,Cricket1_HEVC_SFR_720p_2200K_210.y4m,272887235865251134294166431215383619369.y4m,Cricket1,25.0,HEVC,1280x720,2200K,210
691,691,Cricket2_AVC_HFR_288p_300K_210.y4m,297886359453265106540625375421596751632.y4m,Cricket2,50.0,AVC,512x288,300K,210
692,692,Cricket2_AVC_HFR_396p_600K_210.y4m,154072772878772041576008282372997091857.y4m,Cricket2,50.0,AVC,704x396,600K,210
693,693,Cricket2_AVC_HFR_396p_900K_210.y4m,198725094353363747521630033086903162178.y4m,Cricket2,50.0,AVC,704x396,900K,210
694,694,Cricket2_AVC_SFR_288p_200K_210.y4m,138481408777610684240117699122035801762.y4m,Cricket2,25.0,AVC,512x288,200K,210
695,695,Cricket2_AVC_HFR_540p_1300K_210.y4m,62897170342731302757968216099799496867.y4m,Cricket2,50.0,AVC,960x540,1300K,210
696,696,Cricket2_AVC_SFR_396p_400K_210.y4m,181818824180269330269089852494227933175.y4m,Cricket2,25.0,AVC,704x396,400K,210
697,697,Cricket2_AVC_SFR_396p_800K_210.y4m,236770767278192609894946748754822177965.y4m,Cricket2,25.0,AVC,704x396,800K,210
698,698,Cricket2_AVC_HFR_540p_1900K_210.y4m,326210168047450535760810374181900429378.y4m,Cricket2,50.0,AVC,960x540,1900K,210
699,699,Cricket2_AVC_SFR_540p_1200K_210.y4m,158807136774885285079198538003335894022.y4m,Cricket2,25.0,AVC,960x540,1200K,210
700,700,Cricket2_HEVC_HFR_288p_300K_210.y4m,12867492218391770583021951121106491314.y4m,Cricket2,50.0,HEVC,512x288,300K,210
701,701,Cricket2_AVC_HFR_720p_2200K_210.y4m,60920182358140246463150800070431090163.y4m,Cricket2,50.0,AVC,1280x720,2200K,210
