,Unnamed: 0,hash_name,score,first_session,video,raw_mos_zscore
140,140,337783028205665067917150164848314898074.y4m,53,False,Cricket2_AVC_SFR_720p_2000K_90.y4m,57.9761
141,141,28273251877129853798734113748509426129.y4m,23,False,TNFF_AVC_HFR_396p_600K_144.y4m,22.952248
142,142,48028569953737628460524063580673987141.y4m,74,False,USOpen_HEVC_HFR_720p_2200K_166.y4m,82.4928
143,143,134887625249863097170539008388085163730.y4m,32,False,Cricket2_AVC_SFR_396p_400K_90.y4m,33.4594
144,144,87033691991306674757508956115364558571.y4m,68,False,USOpen_HEVC_SFR_540p_1100K_166.y4m,75.48803
145,145,225306515036916083436499172046384793485.y4m,49,False,EPLNight_HEVC_HFR_396p_600K_0.y4m,53.306255
146,146,131391231083997715827021928687065400756.y4m,72,False,USOpen_AVC_SFR_720p_2000K_166.y4m,80.15787
147,147,121649847168503303399072587470894640132.y4m,42,False,TNFNFL_AVC_SFR_540p_1200K_0.y4m,45.134018
148,148,184436094980911102725228526334255999469.y4m,49,False,USOpen_AVC_SFR_720p_2000K_0.y4m,53.306255
149,149,65895504775898857410357066353030959010.y4m,49,False,TNFF_AVC_SFR_720p_2000K_16.y4m,53.306255
150,150,299608957606498972228503006920324598298.y4m,44,False,USOpen_HEVC_HFR_396p_600K_0.y4m,47.468945
151,151,301141931621972643742095367663127565233.y4m,37,False,EPLNight_AVC_HFR_288p_300K_0.y4m,39.29671
152,152,289138594691579741440143832203652086762.y4m,48,False,Cricket2_HEVC_SFR_540p_1100K_90.y4m,52.13879
153,153,281094568428745226250575904028991070755.y4m,42,False,EPLDay_HEVC_SFR_396p_600K_0.y4m,45.134018
154,154,247172007874212731710045241128136391856.y4m,71,False,USOpen_HEVC_HFR_540p_1900K_166.y4m,78.99041
155,155,118350720227216751299228064904613188359.y4m,61,False,EPLDay_HEVC_HFR_720p_2200K_0.y4m,67.31579
156,156,14355760933860173731675425852640722611.y4m,64,False,EPLNight_HEVC_SFR_720p_2200K_0.y4m,70.81818
157,157,330698912276783590094463162885808080477.y4m,50,False,EPLDay_HEVC_HFR_540p_1900K_0.y4m,54.473713
158,158,151679462551700766803044506051440512365.y4m,57,False,TNFF_AVC_HFR_540p_1900K_144.y4m,62.645947
159,159,283005392929254373615021696232526879145.y4m,26,False,EPLNight_HEVC_HFR_288p_300K_0.y4m,26.454634
160,160,214404244707195030625324902541207085594.y4m,42,False,TNFF_HEVC_HFR_396p_600K_16.y4m,45.134018
161,161,254602754268123448483349816960643389068.y4m,73,False,EPLNight_HEVC_HFR_720p_2200K_0.y4m,81.32533
162,162,212364189504293014885876801026636739813.y4m,74,False,TNFF_HEVC_SFR_720p_2200K_16.y4m,82.4928
163,163,325273396641050073384448065268679172622.y4m,37,False,EPLNight_AVC_SFR_396p_800K_0.y4m,39.29671
164,164,122410070261929394509625114153233392833.y4m,46,False,USOpen_AVC_HFR_396p_600K_166.y4m,49.803867
165,165,329357639442062393615932168212647518001.y4m,46,False,EPLDay_HEVC_HFR_396p_900K_8.y4m,49.803867
166,166,307447739125463141898209871065995342557.y4m,50,False,Cricket2_AVC_SFR_540p_1800K_90.y4m,54.473713
167,167,107972489709825899386726519673988859547.y4m,52,False,TNFNFL_HEVC_SFR_720p_2200K_0.y4m,56.80864
168,168,168827236464177048193393535681647049224.y4m,46,False,TNFF_AVC_SFR_396p_800K_16.y4m,49.803867
169,169,297786564474114883459706089508755735377.y4m,54,False,EPLDay_AVC_HFR_720p_2200K_8.y4m,59.14356
170,170,30590764916250264597129325601611663311.y4m,19,False,TNFF_HEVC_SFR_288p_300K_144.y4m,18.282402
171,171,45981441565324764851657808922742218952.y4m,69,False,EPLDay_HEVC_SFR_540p_1900K_8.y4m,76.65548
172,172,224364196885256868610024501942326796907.y4m,29,False,Cricket1_HEVC_SFR_288p_300K_86.y4m,29.957018
173,173,202621991564024156929890580686566821059.y4m,37,False,EPLDay_AVC_HFR_396p_600K_0.y4m,39.29671
174,174,184224595208201765892012938725550851615.y4m,54,False,Cricket1_SRC_SRC_SRC_SRC_86.y4m,59.14356
175,175,83277782794535419138388818100543619721.y4m,43,False,Cricket2_AVC_HFR_396p_900K_90.y4m,46.301483
176,176,334748175482133469618407515551591356761.y4m,28,False,EPLDay_HEVC_SFR_288p_300K_0.y4m,28.789557
177,177,136992981622422181421132609511619238046.y4m,74,False,EPLNight_HEVC_HFR_540p_1900K_0.y4m,82.4928
178,178,156904449378279480197565765953117560980.y4m,26,False,TNFF_HEVC_HFR_288p_300K_16.y4m,26.454634
179,179,271801356920490594927768501601244811159.y4m,29,False,EPLNight_AVC_HFR_396p_600K_0.y4m,29.957018
180,180,116598126089666378079331731067261069417.y4m,39,False,TNFNFL_HEVC_SFR_396p_900K_0.y4m,41.631634
181,181,312379466294792854993506717778777610507.y4m,37,False,EPLNight_AVC_SFR_396p_400K_0.y4m,39.29671
182,182,233694505049409636575615295920132747560.y4m,44,False,Cricket2_HEVC_HFR_540p_1100K_90.y4m,47.468945
183,183,268063494289450245847191156911322825100.y4m,51,False,Cricket1_HEVC_SFR_720p_2200K_86.y4m,55.641174
184,184,322102479129483757585820767764373249461.y4m,63,False,EPLNight_AVC_SFR_720p_2000K_0.y4m,69.65072
185,185,88315416891098343390034520037631575293.y4m,53,False,EPLDay_AVC_SFR_720p_2000K_8.y4m,57.9761
186,186,110633055949691751914426971701317604177.y4m,55,False,Cricket2_SRC_SRC_SRC_SRC_90.y4m,60.311024
187,187,46464838362804489324529191354682074016.y4m,44,False,Cricket1_HEVC_HFR_396p_900K_86.y4m,47.468945
188,188,43168649094941460182098410453465772453.y4m,49,False,TNFF_HEVC_HFR_540p_1100K_16.y4m,53.306255
189,189,211748399537087526910336351022439753539.y4m,46,False,USOpen_HEVC_SFR_396p_600K_166.y4m,49.803867
190,190,187298059111511550202499426278689534803.y4m,48,False,EPLDay_HEVC_HFR_540p_1100K_0.y4m,52.13879
191,191,126900490453680539735287745510152456018.y4m,44,False,Cricket2_HEVC_HFR_540p_1900K_90.y4m,47.468945
192,192,235874669988633133275731896552590774129.y4m,41,False,Cricket1_AVC_HFR_540p_1300K_86.y4m,43.966557
193,193,310001529999443597000915946138816843052.y4m,45,False,TNFNFL_AVC_SFR_720p_2000K_0.y4m,48.636402
194,194,255282022672005947121716882838712453026.y4m,61,False,EPLNight_HEVC_SFR_540p_1900K_0.y4m,67.31579
195,195,21772631763511610515359448641220322053.y4m,40,False,TNFNFL_AVC_HFR_540p_1300K_0.y4m,42.7991
196,196,292338047405413932653900202604621258998.y4m,50,False,USOpen_AVC_SFR_540p_1200K_0.y4m,54.473713
197,197,47712961831354663683093288463533217915.y4m,44,False,TNFF_AVC_HFR_396p_900K_144.y4m,47.468945
198,198,317500158707222497091444425558438586539.y4m,38,False,Cricket1_AVC_HFR_396p_900K_86.y4m,40.464176
199,199,2216259868503876770420175780430146442.y4m,38,False,TNFF_AVC_HFR_540p_1300K_16.y4m,40.464176
200,200,93328256706542773168291356633340504807.y4m,55,False,TNFF_HEVC_SFR_540p_1900K_144.y4m,60.311024
201,201,211223654972866454415931415269240676907.y4m,41,False,Cricket1_HEVC_HFR_720p_2200K_86.y4m,43.966557
202,202,177676884190736148190593115449487875396.y4m,58,False,EPLDay_AVC_HFR_720p_2200K_0.y4m,63.81341
203,203,47991026169440524977264633586016271986.y4m,49,False,TNFF_AVC_HFR_720p_2200K_144.y4m,53.306255
204,204,193715919282290054117381361703089484676.y4m,46,False,EPLDay_HEVC_SFR_540p_1900K_0.y4m,49.803867
205,205,220550749928157748072722023008525912383.y4m,40,False,EPLDay_HEVC_SFR_396p_600K_8.y4m,42.7991
206,206,215356198985850718945295209453628108056.y4m,44,False,Cricket2_AVC_HFR_396p_600K_90.y4m,47.468945
207,207,56239646028452288913774412932656969839.y4m,87,False,EPLNight_SRC_SRC_SRC_SRC_0.y4m,97.66979
208,208,157263565546748932450383911210921739511.y4m,42,False,Cricket2_HEVC_HFR_396p_900K_90.y4m,45.134018
209,209,313590970083858616707491093722153201878.y4m,67,False,USOpen_AVC_HFR_540p_1900K_166.y4m,74.320564
210,210,106066611185684705843958823534876857129.y4m,47,False,EPLDay_AVC_HFR_540p_1900K_0.y4m,50.97133
211,211,230615781553700114202247999748245097683.y4m,38,False,Cricket1_HEVC_SFR_396p_600K_86.y4m,40.464176
212,212,124207145255284870457375744892119160398.y4m,43,False,EPLDay_HEVC_SFR_396p_900K_8.y4m,46.301483
213,213,281185080989948148886943419127222396710.y4m,53,False,Cricket1_AVC_SFR_540p_1200K_86.y4m,57.9761
214,214,125490425725583983348182992488916325638.y4m,40,False,EPLDay_HEVC_HFR_396p_600K_0.y4m,42.7991
215,215,246320518103021449329396541598379894224.y4m,33,False,TNFNFL_AVC_HFR_396p_900K_0.y4m,34.626865
216,216,247799275479585618019058483819076443789.y4m,26,False,EPLDay_HEVC_HFR_288p_300K_0.y4m,26.454634
217,217,33746680407033697278939205569857135216.y4m,46,False,EPLNight_HEVC_HFR_396p_900K_0.y4m,49.803867
218,218,286951433403935184802412665827204090506.y4m,30,False,USOpen_HEVC_SFR_288p_300K_0.y4m,31.124481
219,219,150975641094223229983175925407667154399.y4m,13,False,TNFF_AVC_SFR_288p_200K_144.y4m,11.277633
220,220,94642410580876051826243608271461975297.y4m,6,False,TNFNFL_AVC_SFR_288p_200K_0.y4m,3.1053982
221,221,49856161668581561765233017122417785783.y4m,49,False,Cricket2_HEVC_SFR_396p_900K_90.y4m,53.306255
222,222,104107716277742175767611938605344405170.y4m,48,False,TNFF_HEVC_HFR_720p_2200K_144.y4m,52.13879
223,223,211600389569040273709811112445749526741.y4m,30,False,EPLDay_AVC_HFR_288p_300K_8.y4m,31.124481
224,224,64405083707180912825670956760747243419.y4m,35,False,USOpen_HEVC_SFR_396p_900K_166.y4m,36.96179
225,225,34042991574486238429383175517183477426.y4m,40,False,EPLDay_HEVC_HFR_396p_900K_0.y4m,42.7991
226,226,255999921452040482592586759899843806667.y4m,46,False,USOpen_HEVC_HFR_396p_900K_166.y4m,49.803867
227,227,70986140353213563733605911551451443744.y4m,47,False,TNFF_AVC_SFR_720p_2000K_144.y4m,50.97133
228,228,136035350812115583747755665840353091649.y4m,74,False,USOpen_SRC_SRC_SRC_SRC_166.y4m,82.4928
229,229,276505504924506612406633628089036401162.y4m,40,False,TNFF_AVC_SFR_540p_1800K_144.y4m,42.7991
230,230,319386791475488267549161217458559166261.y4m,55,False,USOpen_AVC_SFR_540p_1200K_166.y4m,60.311024
231,231,12607237751912985356729210174591902738.y4m,20,False,Cricket2_AVC_SFR_288p_200K_90.y4m,19.449863
232,232,138170236657205700260074755694361419287.y4m,56,False,USOpen_AVC_SFR_540p_1800K_166.y4m,61.478485
233,233,311925461922173039190120815526994767085.y4m,53,False,Cricket1_HEVC_SFR_540p_1900K_86.y4m,57.9761
234,234,210910047146759413576953554531403056593.y4m,17,False,TNFF_AVC_HFR_288p_300K_144.y4m,15.947476
235,235,41789816500295085945755887374890270606.y4m,44,False,Cricket2_HEVC_SFR_720p_2200K_90.y4m,47.468945
236,236,122258309174620402603193220961292925181.y4m,53,False,TNFF_AVC_HFR_540p_1900K_16.y4m,57.9761
237,237,244214116995982826600871960629043916600.y4m,46,False,EPLNight_AVC_HFR_396p_900K_0.y4m,49.803867
